platform,event_query,search_keyword,search_page,commenter_nickname,commenter_unique_id,commenter_profile_url,chat_url,identity_extraction_status,uid_source,source_post_id,source_post_url,source_post_author,source_post_published_at,signal_type,signal_text,signal_url,signal_published_at,intent_label,is_demand,confidence,evidence,recommended_action,outreach_angle,needs_agent_review,review_reason,captured_at
weibo,合肥 郭富城,合肥 郭富城 没抢到,1,和携程去现场,7565615971,https://weibo.com/7565615971?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7565615971&source_from=,ok,profile_url,5286113498630120,https://weibo.com/7565615971/QA8cJAd5u?refer_flag=1001030103_,和携程去现场,04月10日 11:18,post,庐州春意浓🌸热浪再升温 距离合肥站二开⏰还有3 天！ ⏰ 4月16日11:18二开抢票开启 🔛 ✨国缘-郭富城ICONIC世界巡回演唱会-合肥站 📅 演出时间：2026年4月25日 📍 演出地点：合肥少荃体育中心体育馆 🎟 售票平台：携程 上次没抢到？这次别错过！ 上携程🔍【郭富城】即刻预约>> ​ 展开c,https://weibo.com/7565615971/QA8cJAd5u?refer_flag=1001030103_,04月10日 11:18,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-22T09:35:35+00:00
weibo,合肥 郭富城,合肥 郭富城 没抢到,1,大麦官博,1722647874,https://weibo.com/1722647874?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=1722647874&source_from=,ok,profile_url,5286113930379641,https://weibo.com/1722647874/QA8dr1ALf?refer_flag=1001030103_,大麦官博,04月10日 11:20,post,庐州春意浓🌸热浪再升温 距离合肥站二开⏰还有3 天！ ⏰ 4月16日11:18二开抢票开启 🔛 ✨国缘-郭富城ICONIC世界巡回演唱会-合肥站 📅 演出时间：2026年4月25日 📍 演出地点：合肥少荃体育中心体育馆 🎟 售票平台：大麦 上次没抢到？这次别错过！ #郭富城ICONIC世界巡回演唱会# ​ 展开c,https://weibo.com/1722647874/QA8dr1ALf?refer_flag=1001030103_,04月10日 11:20,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-22T09:35:16+00:00
weibo,合肥 郭富城,合肥 郭富城 没抢到,1,飞猪旅行发言人,7148625100,https://weibo.com/7148625100?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7148625100&source_from=,ok,profile_url,5287200444123450,https://weibo.com/7148625100/QAAtShiHg?refer_flag=1001030103_,飞猪旅行发言人,04月13日 11:18,post,庐州春意浓🌸热浪再升温 距离合肥站二开⏰还有3 天！ ⏰ 4月16日11:18二开抢票开启 🔛 ✨国缘-郭富城ICONIC世界巡回演唱会-合肥站 📅 演出时间：2026年4月25日 📍 演出地点：合肥少荃体育中心体育馆 🎟 售票平台：飞猪旅行 上飞猪搜【郭富城】即可预约购票，上次没抢到？这次别错过！ ​ 展开c,https://weibo.com/7148625100/QAAtShiHg?refer_flag=1001030103_,04月13日 11:18,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-22T09:35:00+00:00
weibo,合肥 郭富城,合肥 郭富城 没抢到,1,猫眼演出,6471336957,https://weibo.com/6471336957?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6471336957&source_from=,ok,profile_url,5286163187237734,https://weibo.com/6471336957/QA9uSumRE?refer_flag=1001030103_,猫眼演出,04月10日 14:36,post,庐州春意浓🌸热浪再升温 距离合肥站二开⏰还有3 天！ ⏰ 4月16日11:18二开抢票开启 🔛 ✨国缘-郭富城ICONIC世界巡回演唱会-合肥站 📅 演出时间：2026年4月25日 📍 演出地点：合肥少荃体育中心体育馆 🎟 售票平台：猫眼 上次没抢到？这次别错过！ #郭富城ICONIC世界巡回演唱会# ​ 展开c,https://weibo.com/6471336957/QA9uSumRE?refer_flag=1001030103_,04月10日 14:36,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-22T09:34:17+00:00
weibo,合肥 郭富城,合肥 郭富城,2,圣代演出,6511576355,https://weibo.com/6511576355?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6511576355&source_from=,ok,profile_url,5286475723966078,https://weibo.com/6511576355/QAhCYgDL0?refer_flag=1001030103_,圣代演出,04月11日 11:18,post,庐州春意浓🌸热浪再升温 距离合肥站二开⏰还有3 天！ ⏰ 4月16日11:18二开抢票开启 🔛 ✨国缘-郭富城ICONIC世界巡回演唱会-合肥站 📅 演出时间：2026年4月25日 📍 演出地点：合肥少荃体育中心体育馆 🎟 平台：大麦 上次没抢到？这次别错过！ #郭富城##郭富城iconic世界巡回演唱会# ​,https://weibo.com/6511576355/QAhCYgDL0?refer_flag=1001030103_,04月11日 11:18,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-22T09:24:34+00:00
