platform,event_query,search_keyword,search_page,commenter_nickname,commenter_unique_id,commenter_profile_url,chat_url,source_post_id,source_post_url,source_post_author,source_post_published_at,signal_type,signal_text,signal_url,signal_published_at,intent_label,is_demand,confidence,evidence,recommended_action,outreach_angle,needs_agent_review,review_reason,captured_at
weibo,厦门 邓紫棋,厦门 邓紫棋 没抢到,1,明明就是迪迪,7187005782,https://weibo.com/7187005782?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7187005782&source_from=,5098030913816413,https://weibo.com/7187005782/OF8eng0P3?refer_flag=1001030103_,明明就是迪迪,2024年11月07日 11:05,post,#邓紫棋厦门演唱会# 没抢到 ​,https://weibo.com/7187005782/OF8eng0P3?refer_flag=1001030103_,2024年11月07日 11:05,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:47:01+00:00
weibo,厦门 邓紫棋,厦门 邓紫棋 没抢到,1,姍岚,7639170736,https://weibo.com/7639170736?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7639170736&source_from=,5286130691082117,https://weibo.com/7639170736/QA8Et4xvv?refer_flag=1001030103_,姍岚,04月10日 12:27,post,没发现抢的是两天的啊啊啊啊 怎么就没抢到厦门解我要哭了 终究是见不到2.0了对吗 我想听现场版的天空没有极限粤语版 我真的碎了 ​,https://weibo.com/7639170736/QA8Et4xvv?refer_flag=1001030103_,04月10日 12:27,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:46:52+00:00
weibo,厦门 邓紫棋,厦门 邓紫棋 没抢到,1,棋士联盟_华东,7200115019,https://weibo.com/7200115019?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7200115019&source_from=,5104569267522757,https://weibo.com/7200115019/P1URMvz0N?refer_flag=1001030103_,棋士联盟_华东,2024年11月25日 12:06,post,邓紫棋超话#邓紫棋厦门演唱会# IAG厦门站11月29日（周五）下午 15点在大麦/纷玩岛二开，没抢到票的棋士们提前定好闹钟⏰ ​,https://weibo.com/7200115019/P1URMvz0N?refer_flag=1001030103_,2024年11月25日 12:06,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:46:27+00:00
