platform,event_query,search_keyword,search_page,commenter_nickname,commenter_unique_id,commenter_profile_url,chat_url,source_post_id,source_post_url,source_post_author,source_post_published_at,signal_type,signal_text,signal_url,signal_published_at,intent_label,is_demand,confidence,evidence,recommended_action,outreach_angle,needs_agent_review,review_reason,captured_at
weibo,郑州 单依纯,郑州 单依纯 票,4,Richard-Ze-Liane,5530635013,https://s.weibo.com/u/5530635013,https://api.weibo.com/chat/#/chat?to_uid=5530635013&source_from=,5287978947840962,https://weibo.com/7996622820/QAUJwwTN8?refer_flag=1001030103_,精神小妹ovo,04月17日 15:55 转赞人数超过100,detail_comment,赶紧退了，我要买，本来抢不到就烦死了，少你一个不少,https://weibo.com/7996622820/QAUJwwTN8?refer_flag=1001030103_,26-4-18 22:10 来自湖南,疑似求票,True,0.67,['抢不到'],dm_first,从评论中的求票/没抢到/蹲票等表达切入，确认场次、张数与预算,True,评论信号较弱，建议 agent 二次确认,2026-04-23T05:52:41+00:00
weibo,郑州 单依纯,郑州 单依纯 没抢到,2,阿源的宝贝,6200206024,https://weibo.com/6200206024?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6200206024&source_from=,5068886743715098,https://weibo.com/6200206024/OsU3EfAsW?refer_flag=1001030103_,阿源的宝贝,2024年08月19日 00:57,post,@北极的小冰块 感谢我冰块姐给我带了南京第一场的id，第二场找朋友带的。没有人懂我今天有多破防。看过广州+郑州的嘉宾场，但是在最想看的场子没抢到票，早就猜到的彩虹云朵，想听很久的单依纯，活泼可爱的王源……前两场都没戒断过，2*2双倍难受反弹到今天了。我会一直死，直到下次亲耳听到彩虹云朵的 ​ 展开c,https://weibo.com/6200206024/OsU3EfAsW?refer_flag=1001030103_,2024年08月19日 00:57,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-23T05:48:08+00:00
weibo,郑州 单依纯,郑州 单依纯 没抢到,2,太好太美太优秀的vv,7769995688,https://weibo.com/7769995688?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7769995688&source_from=,5279841572094628,https://weibo.com/7769995688/Qxv2J8MUk?refer_flag=1001030103_,太好太美太优秀的vv,03月24日 03:56,post,郑州文体真的发力啦！ 每两天更新一次演唱会 好消息是 刚才突然看到 周深 要来！！！！ 坏消息是 抢不到票😭 因为今天单依纯的就没抢到 ​,https://weibo.com/7769995688/Qxv2J8MUk?refer_flag=1001030103_,03月24日 03:56,明确求票,True,0.79,"['没抢到', '抢不到']",dm_first,从求票/没抢到切入，确认场次、张数与预算,False,,2026-04-23T05:47:58+00:00
weibo,郑州 单依纯,郑州 单依纯 没抢到,2,·一袋鱼饲料·,5457043257,https://weibo.com/5457043257?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5457043257&source_from=,5200869825970852,https://weibo.com/5457043257/Q0mCWp3i4?refer_flag=1001030103_,·一袋鱼饲料·,2025年08月18日 05:50,post,永远记得去年勇敢奔赴的我 我们的第一面 广州场的缺席 郑州南京场dp什么的都没抢到 让我对去二巡很有执念 拉回去年的今天 一切历历在目（写个“日记”想到什么说什么 流水账谢谢er） （ 前一天晚上我很难过我不知道怎么去形容我p3的抓马） 我问了很多天的包厢录入都是两三千 加上路费勉勉强强可以拿 ​ 展开c,https://weibo.com/5457043257/Q0mCWp3i4?refer_flag=1001030103_,2025年08月18日 05:50,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-23T05:47:48+00:00
weibo,郑州 单依纯,郑州 单依纯 没抢到,1,Mataharihy,2610323245,https://s.weibo.com/u/2610323245,https://api.weibo.com/chat/#/chat?to_uid=2610323245&source_from=,5288790088487888,https://weibo.com/2610323245/QBfPOzC5q?refer_flag=1001030103_,Mataharihy,04月17日 20:34,detail_comment,抢不到根本抢不到,https://weibo.com/2610323245/QBfPOzC5q?refer_flag=1001030103_,26-4-20 12:46 来自河南,疑似求票,True,0.67,['抢不到'],dm_first,从评论中的求票/没抢到/蹲票等表达切入，确认场次、张数与预算,True,评论信号较弱，建议 agent 二次确认,2026-04-23T05:47:09+00:00
weibo,郑州 单依纯,郑州 单依纯 没抢到,1,小猫键盘手,7197359030,https://weibo.com/7197359030?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7197359030&source_from=,5279748045668849,https://weibo.com/7197359030/QxsBSnMJ3?refer_flag=1001030103_,小猫键盘手,03月23日 21:44,post,没抢到🥚乙醇的郑州场 但已潜入郑州场的群 二开等我 单依纯超话 ​,https://weibo.com/7197359030/QxsBSnMJ3?refer_flag=1001030103_,03月23日 21:44,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-23T05:46:57+00:00
weibo,郑州 单依纯,郑州 单依纯 没抢到,1,Vienna_salted汤円,7792433617,https://weibo.com/7792433617?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7792433617&source_from=,5286896439922133,https://weibo.com/7792433617/QAszxFDcp?refer_flag=1001030103_,Vienna_salted汤円,04月12日 15:10,post,单依纯超话 求问郑州场二开大概在什么时候呢一开没抢到一直在蹲 好崩溃呀#单依纯武汉演唱会漂移岛##单依纯# ​,https://weibo.com/7792433617/QAszxFDcp?refer_flag=1001030103_,04月12日 15:10,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-23T05:46:47+00:00
weibo,郑州 单依纯,郑州 单依纯 没抢到,1,朝夜的向日葵,7935176147,https://s.weibo.com/u/7935176147,https://api.weibo.com/chat/#/chat?to_uid=7935176147&source_from=,5289783115123168,https://weibo.com/1056791535/QBFFtluLK?refer_flag=1001030103_,补丁大师,04月20日 14:20,detail_comment,想去但是没抢到380/680，问一下如果黄牛票一直卖不掉临期会打折吗（学生党真没钱还得考虑交通和住宿）,https://weibo.com/1056791535/QBFFtluLK?refer_flag=1001030103_,26-4-21 10:48 来自陕西,疑似求票,True,0.67,['没抢到'],dm_first,从评论中的求票/没抢到/蹲票等表达切入，确认场次、张数与预算,True,评论信号较弱，建议 agent 二次确认,2026-04-23T05:46:26+00:00
